"","Timestamp","Points","Why"
"1","3/10/2020 20:50:05",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"2","4/10/2020 14:55:32",2,"#maps"
"3","4/22/2020 12:57:06",3,"#joins"
"4","4/22/2020 13:05:06",1,"pets"
"5","2/12/2020",2,"In Class Activity 02/12"
"6","2/17/2020",2,"In Class Activity 02/17"
"7","2/21/2020",2,"In Class Activity 02/21"
"8","2/26/2020",2,"In Class Activity 02/26"
"9","4/15/2020",3,"Getting Started Test Quiz"
"10","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"11","4/22/2020",3,"Joins"
