"","Timestamp","Points","Why"
"1","3/10/2020 20:49:40",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"2","4/22/2020 13:05:22",1,"pets"
"3","4/24/2020 16:29:31",5,"Privacy Zoom Discussion"
"4","2/12/2020",2,"In Class Activity 02/12"
"5","2/17/2020",2,"In Class Activity 02/17"
"6","2/21/2020",2,"In Class Activity 02/21"
"7","2/26/2020",2,"In Class Activity 02/26"
"8","4/15/2020",3,"Getting Started Test Quiz"
"9","4/22/2020",4,"Maps Quiz"
"10","4/22/2020",3,"Joins Quiz"
"11","4/24/2020",5,"Modeling Quiz"
"12","5/4/2020",4,"Animate Quiz"
