"","Timestamp","Points","Why"
"1","3/10/2020 20:29:33",1,"03/07 Slack Question - I'm trying to load the data..."
"2","3/10/2020 20:30:23",1,"03/09 - Slack Question - For question 8, I'm trying..."
"3","4/1/2020 13:13:21",1,"Slack Question 03/30"
"4","4/1/2020 14:05:58",2,"03/09 In Class Activity"
"5","4/1/2020 14:07:38",2,"03/09 In Class Activity"
"6","4/6/2020 10:59:16",1,"Drop-In Hours"
"7","4/10/2020 14:50:08",1,"Slack Question 04/07"
"8","4/22/2020 12:45:20",1,"Slack 04/07"
"9","4/22/2020 12:48:31",1,"Slack Question 04/17"
"10","4/22/2020 13:01:57",1,"pets"
"11","4/24/2020 16:30:24",5,"Privacy Zoom Discussion"
"12","2/12/2020",2,"In Class Activity 02/12"
"13","2/17/2020",2,"In Class Activity 02/17"
"14","2/21/2020",2,"In Class Activity 02/21"
"15","2/26/2020",2,"In Class Activity 02/26"
"16","4/15/2020",3,"Getting Started Test Quiz"
"17","4/22/2020",4,"Maps Quiz"
"18","4/22/2020",NA,"Joins Quiz"
"19","4/24/2020",NA,"Modeling Quiz"
