"","Timestamp","Points","Why"
"1","3/5/2020 14:18:50",1,"Slack Question 03/04"
"2","3/10/2020 20:26:11",1,"03/04 - Slack Question - Hey guys, for my final question..."
"3","4/1/2020 13:17:00",1,"03/30 Slack Question"
"4","4/6/2020 14:01:04",1,"Slack Question 04/06"
"5","4/10/2020 16:59:42",3,"Covid-19 Discussion 04/10"
"6","4/22/2020 12:45:43",2,"Slack Answer 04/07"
"7","4/22/2020 12:46:28",2,"Slack Answer 04/09"
"8","4/22/2020 12:55:32",3,"#joins"
"9","4/22/2020 12:56:13",1,"Slack Answer 04/17"
"10","4/22/2020 12:58:01",3,"#joins"
"11","4/22/2020 13:02:27",1,"pets"
"12","2/12/2020",2,"In Class Activity 02/12"
"13","2/17/2020",2,"In Class Activity 02/17"
"14","2/21/2020",2,"In Class Activity 02/21"
"15","2/26/2020",2,"In Class Activity 02/26"
"16","4/15/2020",3,"Getting Started Test Quiz"
"17","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"18","4/22/2020",3,"Joins"
