"","Timestamp","Points","Why"
"1","4/17/2020 13:53:33",5,"What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge"
"2","2/12/2020",2,"In Class Activity 02/12"
"3","2/17/2020",2,"In Class Activity 02/17"
"4","2/21/2020",2,"In Class Activity 02/21"
"5","2/26/2020",2,"In Class Activity 02/26"
"6","4/15/2020",3,"Getting Started Test Quiz"
"7","4/22/2020",4,"Maps Quiz"
"8","4/22/2020",3,"Joins Quiz"
"9","4/24/2020",NA,"Modeling Quiz"
"10","5/4/2020",NA,"Animate Quiz"
