"","Timestamp","Points","Why"
"1","3/10/2020 20:27:45",1,"03/07 Slack Question"
"2","4/10/2020 14:54:56",2,"#maps"
"3","4/22/2020 13:04:28",1,"pets"
"4","4/24/2020 16:29:59",5,"Privacy Zoom Discussion"
"5","2/12/2020",2,"In Class Activity 02/12"
"6","2/17/2020",2,"In Class Activity 02/17"
"7","2/21/2020",2,"In Class Activity 02/21"
"8","2/26/2020",2,"In Class Activity 02/26"
"9","4/15/2020",3,"Getting Started Test Quiz"
"10","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"11","4/22/2020",3,"Joins Quiz"
"12","4/24/2020",5,"Modeling Quiz"
