"","Timestamp","Points","Why"
"1","3/4/2020 16:27:42",2,"Slack  03/04 - adding labels to barpot"
"2","3/5/2020 14:13:18",2,"Slack Answer 04/04"
"3","3/5/2020 14:19:20",2,"Slack Answer 03/04"
"4","3/10/2020 20:24:06",2,"03/04 - Slack Answer - You can't apply the log10..."
"5","3/10/2020 20:26:34",2,"03/04 Slack Answer - Try using the `scale_x_continuous()`..."
"6","3/10/2020 20:28:37",2,"03/04 Slack Answer - Alternatively, you can use the..."
"7","3/10/2020 20:44:57",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"8","4/1/2020 13:59:14",2,"03/09 In Class Activity"
"9","4/6/2020 11:02:01",1,"#getting-started"
"10","4/6/2020 11:04:13",2,"#maps"
"11","4/10/2020 14:50:34",1,"Slack Answer 04/07"
"12","4/10/2020 14:58:28",2,"Slack Answer 04/07"
"13","4/10/2020 17:01:57",3,"Covid-19 Discussion 04/10"
"14","2/12/2020",2,"In Class Activity 02/12"
"15","2/17/2020",2,"In Class Activity 02/17"
"16","2/21/2020",2,"In Class Activity 02/21"
"17","2/26/2020",2,"In Class Activity 02/26"
"18","4/15/2020",3,"Getting Started Test Quiz"
