"","Timestamp","Points","Why"
"1","2/16/2020 13:09:10",2,"Slack"
"2","2/19/2020 15:04:49",1,"Class"
"3","2/19/2020 15:06:00",2,"Slack"
"4","3/7/2020 15:45:25",1,"Slack - new ggplot"
"5","3/10/2020 20:29:55",2,"03/04 - Slack Answer - Did you load in the..."
"6","3/10/2020 20:32:06",1,"03/09 Slack Question - For Question #7..."
"7","3/10/2020 20:34:39",1,"03/09 Slack Question - Another question: are we required..."
"8","3/10/2020 20:39:09",2,"03/09 Slack Answer - That's what I'm doing..."
"9","3/10/2020 20:45:38",5,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge) and 2:45 - 3:30pm - Business Intelligence in a Media Company – Christopher Whitely '95 (Hillcrest 103)"
"10","4/1/2020 13:17:27",2,"03/30 Slack Answer"
"11","4/1/2020 14:09:20",2,"03/09 In Class Activity"
"12","4/1/2020 14:10:37",2,"03/09 In Class Activity"
"13","4/1/2020 14:11:15",1,"03/20 Slack Post"
"14","4/6/2020 10:59:58",1,"Slack Question 04/05"
"15","4/6/2020 11:03:08",2,"Slack Answer 04/01"
"16","4/6/2020 11:06:56",2,"#maps"
"17","4/6/2020 12:50:56",1,"Slack 04/06 - Heads up"
"18","4/7/2020 11:21:39",2,"Slack Answer 04/07"
"19","4/7/2020 11:22:46",2,"Slack Answer 04/06 geom_text()"
"20","4/10/2020 17:00:39",3,"Covid-19 Discussion 04/10"
"21","4/22/2020 12:44:24",1,"Slack Question 04/17"
"22","4/22/2020 12:46:57",1,"Slack shared case tracking"
"23","4/22/2020 13:04:56",1,"pets"
"24","4/30/2020 20:06:51",1,"Slack Question"
"25","2/12/2020",2,"In Class Activity 02/12"
"26","2/17/2020",2,"In Class Activity 02/17"
"27","2/21/2020",2,"In Class Activity 02/21"
"28","2/26/2020",2,"In Class Activity 02/26"
"29","4/15/2020",3,"Getting Started Test Quiz"
"30","4/22/2020",4,"Maps Quiz"
"31","4/22/2020",NA,"Joins Quiz"
"32","4/24/2020",NA,"Modeling Quiz"
