"","Timestamp","Points","Why"
"1","3/5/2020 14:13:36",2,"Slack Answer 03/04"
"2","3/10/2020 20:24:43",2,"03/04 Slack Answer - hey Owen, I just didn't display the outliers..."
"3","3/10/2020 20:50:20",2,"2:45 - 3:30pm - Interpretability and Fairness in AI – Daisy Zhuo '12 (Coltrane Lounge)"
"4","4/1/2020 14:00:42",2,"03/09 In Class Activity"
"5","4/7/2020 11:25:50",1,"Slack Question 04/07"
"6","4/10/2020 14:49:41",1,"Slack Question 04/10"
"7","4/10/2020 14:58:54",2,"#maps"
"8","4/10/2020 17:00:49",3,"Covid-19 Discussion 04/10"
"9","4/22/2020 12:54:01",3,"#joins"
"10","4/22/2020 12:54:47",1,"Slack Comment 04/15"
"11","4/22/2020 13:00:33",2,"#participation-points 04/07"
"12","4/22/2020 13:00:50",1,"pets"
"13","2/12/2020",2,"In Class Activity 02/12"
"14","2/17/2020",2,"In Class Activity 02/17"
"15","2/21/2020",2,"In Class Activity 02/21"
"16","2/26/2020",2,"In Class Activity 02/26"
"17","4/15/2020",3,"Getting Started Test Quiz"
"18","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"19","4/22/2020",3,"Joins"
