"","Timestamp","Points","Why"
"1","3/10/2020 20:50:05",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"2","4/10/2020 14:55:32",2,"#maps"
"3","4/22/2020 12:57:06",3,"#joins"
"4","4/22/2020 13:05:06",1,"pets"
"5","4/30/2020 20:01:35",3,"#modeling"
"6","4/30/2020 20:08:42",1,"Slack Question 04/30"
"7","2/12/2020",2,"In Class Activity 02/12"
"8","2/17/2020",2,"In Class Activity 02/17"
"9","2/21/2020",2,"In Class Activity 02/21"
"10","2/26/2020",2,"In Class Activity 02/26"
"11","4/15/2020",3,"Getting Started Test Quiz"
"12","4/22/2020",4,"Maps Quiz"
"13","4/22/2020",3,"Joins Quiz"
"14","4/24/2020",5,"Modeling Quiz"
"15","5/4/2020",4,"Animate Quiz"
