"","Timestamp","Points","Why"
"1","3/10/2020 20:49:21",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"2","4/24/2020 16:30:07",5,"Privacy Zoom Discussion"
"3","2/12/2020",2,"In Class Activity 02/12"
"4","2/17/2020",2,"In Class Activity 02/17"
"5","2/21/2020",2,"In Class Activity 02/21"
"6","2/26/2020",2,"In Class Activity 02/26"
"7","4/15/2020",3,"Getting Started Test Quiz"
"8","4/22/2020",3,"Maps Quiz"
"9","4/22/2020",3,"Joins Quiz"
"10","4/24/2020",5,"Modeling Quiz"
"11","5/4/2020",NA,"Animate Quiz"
