"","Timestamp","Points","Why"
"1","3/10/2020 20:46:23",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"2","4/10/2020 17:01:16",3,"Covid-19 Discussion 04/10"
"3","4/15/2020 20:32:46",5,"Private appointment"
"4","4/22/2020 13:03:11",1,"pets"
"5","4/24/2020 16:29:49",5,"Privacy Zoom Discussion"
"6","2/12/2020",2,"In Class Activity 02/12"
"7","2/17/2020",2,"In Class Activity 02/17"
"8","2/21/2020",2,"In Class Activity 02/21"
"9","2/26/2020",2,"In Class Activity 02/26"
"10","4/15/2020",3,"Getting Started Test Quiz"
"11","4/22/2020",3,"Maps Quiz"
"12","4/22/2020",3,"Joins Quiz"
"13","4/24/2020",5,"Modeling Quiz"
"14","5/4/2020",NA,"Animate Quiz"
