"","Timestamp","Points","Why"
"1","3/10/2020 20:50:44",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"2","4/1/2020 13:58:58",2,"03/09 In Class Activity"
"3","4/22/2020 12:47:12",1,"Slack COmment 04/13"
"4","4/22/2020 13:02:43",1,"pets"
"5","2/12/2020",2,"In Class Activity 02/12"
"6","2/17/2020",2,"In Class Activity 02/17"
"7","2/21/2020",2,"In Class Activity 02/21"
"8","2/26/2020",2,"In Class Activity 02/26"
"9","4/15/2020",3,"Getting Started Test Quiz"
"10","4/22/2020",4,"Maps Quiz"
"11","4/22/2020",3,"Joins Quiz"
"12","4/24/2020",5,"Modeling Quiz"
"13","5/4/2020",4,"Animate Quiz"
