"","Timestamp","Points","Why"
"1","2/16/2020 13:08:39",1,"Slack"
"2","2/19/2020 15:06:24",1,"Slack"
"3","3/4/2020 16:28:35",2,"Answered question Slack 03/04"
"4","3/5/2020 14:19:33",2,"Slack Answer 03/04"
"5","3/10/2020 20:27:04",2,"03/04 - Slack Answer - You can also use the `scale_x_discrete()`..."
"6","3/10/2020 20:30:48",2,"03/09 Slack Answer - I had luck putting it..."
"7","4/1/2020 13:13:01",1,"Slack Question 03/29"
"8","4/1/2020 13:58:45",2,"03/09 In Class Activity"
"9","4/1/2020 14:00:23",2,"03/09 In Class Activity"
"10","4/1/2020 14:13:15",1,"Meme"
"11","4/6/2020 11:01:44",1,"#getting-started"
"12","4/6/2020 11:03:42",2,"Slack Answer 04/02"
"13","4/6/2020 11:17:08",2,"Slack Answer 04/05"
"14","4/22/2020 12:52:08",3,"#joins"
"15","4/22/2020 13:02:56",1,"pets"
"16","2/12/2020",2,"In Class Activity 02/12"
"17","2/17/2020",2,"In Class Activity 02/17"
"18","2/21/2020",2,"In Class Activity 02/21"
"19","2/26/2020",2,"In Class Activity 02/26"
"20","4/15/2020",3,"Getting Started Test Quiz"
"21","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"22","4/22/2020",3,"Joins Quiz"
"23","4/24/2020",NA,"Modeling Quiz"
