"","Timestamp","Points","Why"
"1","2/19/2020 15:06:50",1,"Slack"
"2","2/19/2020 15:07:28",1,"Slack"
"3","3/1/2020 14:09:54",1,"Slack"
"4","3/1/2020 18:31:19",2,"Attending office hours (x2)"
"5","3/10/2020 20:28:08",2,"03/07 Slack Answer - You can do a counts to find the number..."
"6","3/10/2020 20:34:55",2,"03/09 Slack Answer - I just left the airlines..."
"7","3/10/2020 20:47:31",10,"3+3+2+2"
"8","4/1/2020 13:12:40",1,"Slack Question 02/14"
"9","4/1/2020 14:00:05",2,"03/09 In Class Activity"
"10","4/1/2020 14:12:39",1,"Meme"
"11","4/6/2020 11:06:39",2,"#maps"
"12","4/10/2020 17:01:07",3,"Covid-19 Discussion 04/10"
"13","4/22/2020 13:03:47",1,"pets"
"14","2/12/2020",2,"In Class Activity 02/12"
"15","2/17/2020",2,"In Class Activity 02/17"
"16","2/21/2020",2,"In Class Activity 02/21"
"17","2/26/2020",2,"In Class Activity 02/26"
"18","4/15/2020",3,"Getting Started Test Quiz"
"19","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"20","4/22/2020",NA,"Joins"
