"","Timestamp","Points","Why"
"1","3/2/2020 14:36:00",1,"Slack"
"2","3/4/2020 16:29:19",2,"Slack 03/04 - I gave you two points since you answered your own question"
"3","3/10/2020 20:47:06",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge"
"4","4/1/2020 13:14:19",1,"Slack Question 03/30"
"5","4/1/2020 13:57:14",2,"03/09 In Class Activity"
"6","4/1/2020 14:13:29",1,"Meme"
"7","4/6/2020 11:00:42",1,"Slack Question 04/06"
"8","4/6/2020 11:16:51",1,"Slack Question 04/05"
"9","4/10/2020 14:55:56",2,"#maps"
"10","4/22/2020 12:40:54",1,"Slack Question 04/13"
"11","4/22/2020 12:42:41",2,"Slack Question 04/15"
"12","4/22/2020 12:43:15",2,"Slack Answer 04/15 (answering your own question - haha!)"
"13","4/22/2020 12:44:03",1,"Slack Reply 04/15"
"14","4/22/2020 12:47:47",1,"Slack Question 04/14"
"15","4/22/2020 12:49:36",3,"#joins"
"16","4/22/2020 13:04:16",1,"pets"
"17","4/30/2020 19:59:19",1,"Slack Question 04/23"
"18","4/30/2020 19:59:36",1,"Slack Question 04/23"
"19","4/30/2020 20:00:05",3,"#modeling"
"20","4/30/2020 20:09:43",1,"Slack Question 04/30"
"21","4/30/2020 20:10:01",1,"Slack Question 04/30"
"22","4/30/2020 20:10:15",3,"#animate"
"23","2/12/2020",2,"In Class Activity 02/12"
"24","2/17/2020",2,"In Class Activity 02/17"
"25","2/21/2020",2,"In Class Activity 02/21"
"26","2/26/2020",2,"In Class Activity 02/26"
"27","4/15/2020",3,"Getting Started Test Quiz"
"28","4/22/2020",4,"Maps Quiz"
"29","4/22/2020",3,"Joins Quiz"
"30","4/24/2020",5,"Modeling Quiz"
