"","Timestamp","Points","Why"
"1","3/10/2020 20:22:08",2,"Slack Answer"
"2","3/10/2020 20:49:52",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"3","4/6/2020 11:02:47",1,"Slack Question 04/01"
"4","4/6/2020 11:06:26",2,"#maps"
"5","4/7/2020 11:22:23",1,"Slack Question 04/06"
"6","4/7/2020 11:23:19",1,"Slack Question 04/07"
"7","4/10/2020 17:01:29",3,"Covid-19 Discussion 04/10"
"8","4/22/2020 12:42:17",2,"Slack Answer 04/15"
"9","4/22/2020 12:43:40",1,"Slack COmment 04/15"
"10","4/22/2020 12:51:41",3,"#joins"
"11","2/12/2020",2,"In Class Activity 02/12"
"12","2/17/2020",2,"In Class Activity 02/17"
"13","2/21/2020",2,"In Class Activity 02/21"
"14","2/26/2020",2,"In Class Activity 02/26"
"15","4/15/2020",3,"Getting Started Test Quiz"
"16","4/22/2020",4,"Maps Quiz"
"17","4/22/2020",3,"Joins Quiz"
"18","4/24/2020",3,"Modeling Quiz"
"19","5/4/2020",NA,"Animate Quiz"
