"","Timestamp","Points","Why"
"1","3/10/2020 20:48:44",8,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220), 1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge), 3:45 - 4:30pm - Data Visualization - Kelsey E. Hoekstra '17 (Coltrane Lounge)"
"2","4/1/2020 13:15:47",1,"03/31 Slack Contribution"
"3","4/1/2020 13:16:39",1,"03/30 Slack Question"
"4","4/1/2020 13:57:26",2,"03/09 In Class Activity"
"5","4/6/2020 11:01:04",2,"Slack Answer 04/06"
"6","4/10/2020 17:01:40",3,"Covid-19 Discussion 04/10"
"7","2/12/2020",2,"In Class Activity 02/12"
"8","2/17/2020",2,"In Class Activity 02/17"
"9","2/21/2020",2,"In Class Activity 02/21"
"10","2/26/2020",2,"In Class Activity 02/26"
"11","4/15/2020",3,"Getting Started Test Quiz"
"12","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"13","4/22/2020",3,"Joins"
