"","Timestamp","Points","Why"
"1","3/10/2020 20:32:28",2,"03/09 Slack Answer - It sounds like you are correct..."
"2","3/10/2020 20:33:24",2,"03/04 Slack Answer - @Jay-Ho Chung It looks like you..."
"3","3/10/2020 20:51:30",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"4","4/1/2020 14:08:02",2,"03/09 In Class Activity"
"5","4/1/2020 14:09:02",1,"Cool Word Cloud!"
"6","4/1/2020 14:15:27",2,"2 points for your ORIGINAL meme"
"7","4/10/2020 14:53:58",2,"#maps"
"8","2/12/2020",2,"In Class Activity 02/12"
"9","2/17/2020",2,"In Class Activity 02/17"
"10","2/21/2020",2,"In Class Activity 02/21"
"11","2/26/2020",2,"In Class Activity 02/26"
"12","4/15/2020",3,"Getting Started Test Quiz"
