"","Timestamp","Points","Why"
"1","2/19/2020 15:05:00",1,"Class"
"2","3/10/2020 20:51:17",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"3","4/22/2020 12:59:26",1,"Slack Comment 04/13"
"4","2/12/2020",2,"In Class Activity 02/12"
"5","2/17/2020",2,"In Class Activity 02/17"
"6","2/21/2020",2,"In Class Activity 02/21"
"7","2/26/2020",2,"In Class Activity 02/26"
"8","4/15/2020",3,"Getting Started Test Quiz"
"9","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"10","4/22/2020",3,"Joins Quiz"
"11","4/24/2020",NA,"Modeling Quiz"
