"","Timestamp","Points","Why"
"1","2/16/2020 13:08:57",1,"Slack"
"2","2/19/2020 15:05:07",1,"Class"
"3","2/19/2020 15:05:39",1,"Slack"
"4","3/1/2020 14:11:58",1,"Slack"
"5","3/10/2020 20:32:52",1,"03/04 Slack Question - To hop on, is this something..."
"6","3/10/2020 20:34:03",1,"03/09 Slack Question - @Vem Nazarian So something..."
"7","3/10/2020 20:38:37",2,"03/09 Slack Answer - For Sure, I think that we..."
"8","4/1/2020 13:13:44",2,"Slack Answer 03/30"
"9","4/1/2020 14:00:54",2,"03/09 In Class Activity"
"10","4/1/2020 14:02:44",2,"03/09 In Class Activity"
"11","4/10/2020 14:53:02",1,"Slack Inspiration Post 04/10"
"12","4/13/2020 10:34:34",2,"#maps"
"13","4/22/2020 12:48:05",1,"Slack Question 04/17"
"14","4/22/2020 12:57:24",3,"#joins"
"15","4/22/2020 13:01:04",1,"pets"
"16","4/30/2020 20:00:59",3,"#modeling"
"17","2/12/2020",2,"In Class Activity 02/12"
"18","2/17/2020",2,"In Class Activity 02/17"
"19","2/21/2020",2,"In Class Activity 02/21"
"20","2/26/2020",2,"In Class Activity 02/26"
"21","4/15/2020",3,"Getting Started Test Quiz"
"22","4/22/2020",3,"Maps Quiz"
"23","4/22/2020",3,"Joins Quiz"
"24","4/24/2020",NA,"Modeling Quiz"
