"","Timestamp","Points","Why"
"1","2/10/2020 14:53:54",2,"Class"
"2","2/15/2020 11:00:37",1,"Slack"
"3","3/10/2020 20:20:00",1,"03/09 Slack - #data-science_inspiration"
"4","3/10/2020 20:29:03",2,"03/08 Slack Answer - You could also use the count function..."
"5","3/10/2020 20:48:07",6,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220), 1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge"
"6","4/1/2020 13:14:02",1,"Slack Question 03/30"
"7","4/1/2020 13:15:20",1,"03/09 Slack #data-science-inspiration contribution"
"8","4/1/2020 13:57:45",2,"03/09 In Class Activity"
"9","4/1/2020 14:14:10",1,"Meme"
"10","4/10/2020 14:57:14",2,"#maps"
"11","4/10/2020 17:00:59",3,"Covid-19 Discussion 04/10"
"12","4/22/2020 12:55:02",3,"#joins"
"13","4/22/2020 13:01:17",1,"pets"
"14","2/12/2020",2,"In Class Activity 02/12"
"15","2/17/2020",2,"In Class Activity 02/17"
"16","2/21/2020",2,"In Class Activity 02/21"
"17","2/26/2020",2,"In Class Activity 02/26"
"18","4/15/2020",3,"Getting Started Test Quiz"
"19","4/22/2020",3,"Maps Quiz"
"20","4/22/2020",3,"Joins Quiz"
"21","4/24/2020",NA,"Modeling Quiz"
"22","5/4/2020",NA,"Animate Quiz"
