"","Timestamp","Points","Why"
"1","3/5/2020 14:12:58",1,"Slack 03/04"
"2","3/10/2020 20:23:27",1,"Slack Question - 03/04"
"3","3/10/2020 20:49:05",3,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220)"
"4","4/1/2020 13:59:27",2,"03/09 In Class Activity"
"5","4/22/2020 13:03:31",1,"pets"
"6","4/30/2020 20:11:40",3,"Pet/Animal Challenge Winner!"
"7","2/12/2020",2,"In Class Activity 02/12"
"8","2/17/2020",2,"In Class Activity 02/17"
"9","2/21/2020",2,"In Class Activity 02/21"
"10","2/26/2020",2,"In Class Activity 02/26"
"11","4/15/2020",3,"Getting Started Test Quiz"
"12","4/22/2020",4,"Maps Quiz"
"13","4/22/2020",2,"Joins Quiz"
"14","4/24/2020",NA,"Modeling Quiz"
"15","5/4/2020",NA,"Animate Quiz"
