"","Timestamp","Points","Why"
"1","3/10/2020 20:47:44",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge"
"2","4/1/2020 14:14:50",1,"Meme"
"3","4/22/2020 12:50:53",1,"Slack Comment 04/17"
"4","4/22/2020 12:56:44",3,"#joins"
"5","4/22/2020 13:02:16",1,"pets"
"6","4/24/2020 16:30:35",5,"Privacy Zoom Discussion"
"7","2/12/2020",2,"In Class Activity 02/12"
"8","2/17/2020",2,"In Class Activity 02/17"
"9","2/21/2020",2,"In Class Activity 02/21"
"10","2/26/2020",2,"In Class Activity 02/26"
"11","4/15/2020",3,"Getting Started Test Quiz"
"12","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"13","4/22/2020",NA,"Joins Quiz"
"14","4/24/2020",NA,"Modeling Quiz"
