"","Timestamp","Points","Why"
"1","3/10/2020 20:46:48",3,"1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"2","4/1/2020 13:56:45",2,"03/09 In Class Activity"
"3","4/1/2020 14:13:57",2,"Meme - I gave you two points for your ORIGINAL meme"
"4","4/10/2020 14:57:51",2,"#maps"
"5","4/10/2020 14:58:06",1,"Slack Question 04/07"
"6","4/22/2020 12:41:49",1,"Slack Question 04/14"
"7","4/22/2020 12:47:29",1,"Slack Question 04/14"
"8","4/22/2020 12:52:21",3,"#joins"
"9","4/22/2020 13:01:44",1,"pets"
"10","4/24/2020 16:29:41",5,"Privacy Zoom Discussion"
"11","4/30/2020 20:00:25",3,"#modeling"
"12","4/30/2020 20:07:57",1,"Slack Question 04/24"
"13","2/12/2020",2,"In Class Activity 02/12"
"14","2/17/2020",2,"In Class Activity 02/17"
"15","2/21/2020",2,"In Class Activity 02/21"
"16","2/26/2020",2,"In Class Activity 02/26"
"17","4/15/2020",3,"Getting Started Test Quiz"
"18","4/22/2020",3,"Maps Quiz"
"19","4/22/2020",3,"Joins Quiz"
"20","4/24/2020",5,"Modeling Quiz"
"21","5/4/2020",NA,"Animate Quiz"
