"","Timestamp","Points","Why"
"1","3/10/2020 20:22:19",2,"Slack Answer"
"2","3/10/2020 20:51:03",6,"12:30-1:30pm - Careers in Data Analytics for Liberal Arts - Panel Discussion (MBH 220), 1:45 - 2:30pm - What do Data Scientists Do and the Ethics of Data Analytics – Jay Yonamine '07 (Coltrane Lounge)"
"3","4/1/2020 13:59:42",2,"03/09 In Class Activity"
"4","4/22/2020 12:58:27",3,"#joins"
"5","4/22/2020 13:04:01",1,"pets"
"6","2/12/2020",2,"In Class Activity 02/12"
"7","2/17/2020",2,"In Class Activity 02/17"
"8","2/21/2020",2,"In Class Activity 02/21"
"9","2/26/2020",2,"In Class Activity 02/26"
"10","4/15/2020",3,"Getting Started Test Quiz"
"11","4/22/2020",NA,"Maps Quiz (Ungraded... Soon!)"
"12","4/22/2020",3,"Joins"
